old_cluster_id,uuid,new_cluster_id
3163335,19545-B-2625077-19991022,3299219
3256622,15340-B-2684565-19990326,3394837
3433684,173-B-166055-19990507,3576462
3472235,10268-B-3911401-19991201,3616704
3505501,897-B-1151683-19991002,3651902
3545535,18874-B-4761036-19990629,3692955
3632304,9257-B-1801276-19990712,3781447
3638668,18467-B-2824152-19990319,3788302
3734189,11389-B-1000054-19990217,3886844
2948096,15353-B-3895557-20001009,3076159
2955324,5478-B-1560282-20010921,3084284
3055387,15340-B-2673025-20000929,3187674
3071323,5281-B-3598582-20000328,3204405
3133722,2480-B-56261-20010829,3268932
3151761,18148-B-2858084-20010411,3291380
3160181,17773-B-2923094-20010531,3295796
3228647,18520-B-3681439-20000407,3366229
3229718,16385-B-5013861-20001221,3371514
3235103,11686-B-2595613-20000329,3373013
3251421,20301-B-1809136-20010604,3390296
3344060,878-B-534559-20000821,3485704
3387656,21527-B-125029-20000608,3530307
3443727,2497-B-3038385-20001208,3588223
3469189,6474-B-4962680-20001113,3613513
3505472,5794-B-688198-20000504,3651873
3513185,109-B-4956659-20000809,3659955
3517845,11389-B-994665-20010619,3663744
3533393,4753-B-373716-20000128,3680077
3542832,10876-B-117014-20000622,3690090
3548832,1604-B-1147654-20010426,3696364
3693090,15353-B-3895693-20001222,3844955
3700271,20969-B-4968822-20001030,3851892
3714689,6474-B-4962385-20000901,3866918
3749605,12521-B-1074802-20010926,3902896
2964118,5781-B-3938820-20020619,3093609
2986754,20581-B-5572078-20031209,3117325
3055739,11389-B-995927-20031223,3188028
3140778,14695-B-1137153-20020221,3276464
3238699,5820-B-290371-20030602,3376997
3274076,16770-B-4788254-20030714,3413351
3315376,7061-B-2967391-20020227,3453635
3316269,5678-B-3042544-20020730,3454788
3343903,11389-B-995402-20030627,3485531
3365288,6129-B-5456105-20020606,3506760
3427854,14285-B-3870592-20021218,3569636
3455038,16345-B-5638106-20030512,3598819
3472156,5678-B-3042539-20020730,3616616
3472188,15738-B-185931-20021009,3616649
