donor_id,canon_id,cluster_score
383448,383448,0.9727186
383449,383448,0.9727186
389907,389907,0.9926713
389908,389907,0.9926713
337594,337594,0.991481061456307
337595,337594,0.992059364138429
337600,337594,0.991204933710005
337601,337594,0.990668096091315
337602,337594,0.992059364138429
398841,398841,0.910142422336591
398842,398841,0.776815477135122
398844,398841,0.748592615548526
398846,398841,0.420458387927332
398854,398841,0.699829613806429
398855,398841,0.699829613806429
398856,398841,0.699829613806429
398858,398841,0.737271775426325
398859,398841,0.699829613806429
398860,398841,0.827764194540903
326805,326805,0.607054329691009
326806,326805,0.612841233932129
326807,326805,0.831328898458589
342623,342623,0.993965551628499
342624,342623,0.993484258656095
342625,342623,0.993965551628499
342626,342623,0.993965551628499
368465,368465,0.903737989670295
368466,368465,0.924791110091024
368467,368465,0.932204840019474
388995,388995,0.985100811867687
388996,388995,0.992320124442747
389024,388995,0.992320124442747
389025,388995,0.990394211987592
389026,388995,0.990394211987592
323637,323637,0.984553959497456
323638,323637,0.986169113224468
323639,323637,0.992540743469985
341269,341269,0.423047647717814
341272,341269,0.752343012865775
341273,341269,0.77451534577329
341274,341269,0.77451534577329
341275,341269,0.775152683890922
341276,341269,0.85281011802701
341277,341269,0.74749867391369
341278,341269,0.783024923220454
341279,341269,0.773222512957438
341280,341269,0.758371948043236
334032,334032,0.753631593686976
334033,334032,0.825723962946608
334034,334032,0.825723962946608
380976,380976,0.992212712702922
380977,380976,0.992212712702922
340031,340031,0.974067925916946
340032,340031,0.974067925916946
372871,372871,0.870372413491384
372872,372871,0.870372413491384
372930,372930,0.487848727943277
372931,372930,0.562771275968452
372932,372930,0.837038870452273
372933,372930,0.858387300313397
372934,372930,0.834659064301571
372935,372930,0.420989870139181
372936,372930,0.925978127330791
325874,325874,0.911907838458329
325875,325874,0.907187072239949
325878,325874,0.901876101483794
325879,325874,0.97922844550293
325880,325874,0.802132876504885
325881,325874,0.822508462287184
325882,325874,0.88560503303851
325883,325874,0.793925154592503
325884,325874,0.863157151057654
325885,325874,0.907580014041019
325886,325874,0.911540630904014
325887,325874,0.954460734444666
325888,325874,0.841355737042695
325876,325876,0.986747157675787
325877,325876,0.988042209548315
325889,325876,0.983381585608242
358402,358402,0.993033051483645
358403,358402,0.993033051483645
358404,358404,0.993851601994566
358405,358404,0.993851601994566
385678,385678,0.684633480418473
385679,385678,0.899780165218102
385680,385678,0.862819019612855
385681,385678,0.926919874534549
385682,385678,0.725543523548613
349483,349483,0.96918348138995
349484,349483,0.967590812145917
349485,349483,0.967478878110081
349486,349483,0.945367574040265
365306,365306,0.99229753
365307,365306,0.99229753
385379,385379,0.991999569754883
385380,385379,0.989084262493531
385381,385379,0.993873745241945
385382,385379,0.991999569754883
320716,320716,0.98918706
320717,320716,0.98918706
319697,319697,0.861314556512519
319698,319697,0.965807417746734
319699,319697,0.858644779224655
319700,319697,0.965807417746734
350323,350323,0.977476350265019
350324,350323,0.977476350265019
350325,350323,0.977476350265019
350326,350323,0.977476350265019
393984,393984,0.89073389654893
394010,393984,0.89073389654893
393985,393985,0.615594383621707
394011,393985,0.615594383621707
393986,393986,0.99031633144545
393987,393986,0.99031633144545
393988,393988,0.895144699235772
393989,393988,0.92548096425442
393990,393988,0.92548096425442
393991,393988,0.92548096425442
393992,393988,0.925190849581395
393993,393988,0.933607295300439
393994,393988,0.927814073767032
393995,393988,0.862065374408228
393996,393996,0.806824884093124
393997,393996,0.880424588678314
393998,393996,0.892745374447728
394000,393996,0.856322745961061
394001,393996,0.856322745961061
394002,393996,0.784749951536435
394003,393996,0.860496257742145
394004,393996,0.842379125144885
393999,393999,0.956638573950658
394006,393999,0.956638573950658
394005,394005,0.91840863093837
394007,394005,0.91840863093837
341426,341426,0.916308840570625
341427,341426,0.934465346195809
341428,341426,0.934465346195809
341429,341426,0.920825081381878
341430,341426,0.926017033384933
341431,341426,0.913625425756423
393761,393761,0.9861765
393762,393761,0.9861765
349184,349184,0.940350889063501
